ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Debt_Income_Ratio,Total_Income,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Income_bin_Low,Income_bin_Medium
3620,0.0,25.0,120.0,1.0,1,0.006904170118751726,3620.0,1,0,0,0,0,1,0,1,0,0,1
6782,0.0,128.0,360.0,1.0,0,0.018870706177207725,6782.0,1,0,0,0,0,0,0,0,1,0,0
2484,2302.0,137.0,360.0,1.0,1,0.028619176937539167,4786.0,0,1,0,0,0,0,0,1,0,1,0
1977,997.0,50.0,360.0,1.0,1,0.01680672268907563,2974.0,1,1,0,0,0,0,0,1,0,1,0
4188,0.0,115.0,180.0,1.0,1,0.027452852709477202,4188.0,1,1,0,0,0,1,0,1,0,0,1
1759,3541.0,131.0,360.0,1.0,1,0.024712318430484815,5300.0,1,1,0,0,0,0,0,1,0,1,0
4288,3263.0,133.0,180.0,1.0,1,0.017611228813559324,7551.0,1,1,0,1,0,1,0,0,1,0,1
4843,3806.0,151.0,360.0,1.0,1,0.017456647398843932,8649.0,1,0,0,0,0,0,0,1,0,0,1
13650,0.0,128.0,360.0,1.0,1,0.0093766024467072,13650.0,1,1,0,0,0,0,0,0,1,0,0
4652,3583.0,128.0,360.0,1.0,1,0.015541525012141816,8235.0,1,1,0,0,0,0,0,1,0,0,1
3816,754.0,160.0,360.0,1.0,1,0.03500328155764603,4570.0,1,1,0,0,0,0,0,0,1,0,1
3052,1030.0,100.0,360.0,1.0,1,0.02449179524859172,4082.0,1,1,1,0,0,0,0,0,1,0,1
11417,1126.0,225.0,360.0,1.0,1,0.01793686224489796,12543.0,1,1,0,1,0,0,0,0,1,0,0
7333,0.0,120.0,360.0,1.0,0,0.01636214889555495,7333.0,1,0,0,0,0,1,0,0,0,0,0
3800,3600.0,216.0,360.0,0.0,0,0.029185245237130116,7400.0,1,1,0,1,0,0,0,0,1,0,1
2071,754.0,94.0,480.0,1.0,1,0.03326256192498231,2825.0,1,1,0,0,1,1,0,1,0,1,0
5316,0.0,136.0,360.0,1.0,1,0.025578333646793305,5316.0,1,0,0,0,0,0,0,0,1,0,1
2929,2333.0,139.0,360.0,1.0,1,0.026410792323769715,5262.0,0,1,0,0,0,0,0,1,0,0,1
3572,4114.0,152.0,360.0,0.0,0,0.01977364381423182,7686.0,1,1,0,0,0,1,0,0,0,0,1
7451,0.0,128.0,360.0,1.0,1,0.017176596886741814,7451.0,0,0,1,0,0,0,1,1,0,0,0
5050,0.0,118.0,360.0,1.0,1,0.02336171055236587,5050.0,1,0,0,0,0,0,0,1,0,0,1
14583,0.0,185.0,180.0,1.0,1,0.012685134393856282,14583.0,1,1,1,0,0,0,0,0,0,0,0
3167,2283.0,154.0,360.0,1.0,1,0.028251696936341955,5450.0,0,1,0,0,0,0,0,1,0,0,1
2214,1398.0,85.0,360.0,1.0,1,0.023526155549404928,3612.0,1,1,1,0,0,0,0,0,1,1,0
5568,2142.0,175.0,360.0,1.0,0,0.022694851510828687,7710.0,1,1,0,0,0,0,0,0,0,0,1
10408,0.0,259.0,360.0,1.0,1,0.02488231338264963,10408.0,0,0,0,0,0,0,0,0,1,0,0
5667,2667.0,180.0,360.0,1.0,1,0.021595680863827234,8334.0,1,1,0,0,0,0,0,0,0,0,1
4166,0.0,44.0,360.0,1.0,1,0.010559155267578594,4166.0,0,0,0,0,0,0,0,1,0,0,1
2137,8980.0,137.0,360.0,0.0,1,0.012322360136715237,11117.0,0,0,0,0,0,0,0,1,0,1,0
2957,0.0,81.0,360.0,1.0,1,0.02738336713995943,2957.0,1,1,0,1,0,0,0,1,0,0,1
4300,2014.0,194.0,360.0,1.0,1,0.030720506730007917,6314.0,1,1,0,0,0,1,0,0,0,0,1
3692,0.0,93.0,360.0,1.0,1,0.025182778229082048,3692.0,0,0,0,0,0,0,0,0,0,0,1
23803,0.0,370.0,360.0,1.0,1,0.015543606116619056,23803.0,1,1,0,0,1,0,0,0,0,0,0
3865,1640.0,128.0,360.0,1.0,1,0.023247366509262624,5505.0,1,0,0,0,0,0,0,0,0,0,1
10513,3850.0,160.0,180.0,0.0,0,0.01113895850737956,14363.0,1,1,1,0,0,0,1,0,1,0,0
6080,2569.0,182.0,360.0,1.0,0,0.021040462427745665,8649.0,1,1,0,0,0,0,0,0,0,0,0
20166,0.0,650.0,480.0,1.0,1,0.03223087221698815,20166.0,1,0,0,0,0,0,1,0,1,0,0
2014,1929.0,74.0,360.0,1.0,1,0.018762677484787018,3943.0,1,0,0,0,0,0,0,0,1,1,0
2718,0.0,70.0,360.0,1.0,1,0.025744759102611255,2718.0,1,0,0,0,0,0,0,1,0,0,1
3459,0.0,25.0,120.0,1.0,1,0.0072254335260115606,3459.0,1,1,0,0,0,0,1,1,0,0,1
4895,0.0,102.0,360.0,1.0,1,0.020833333333333332,4895.0,1,0,0,0,0,0,0,1,0,0,1
4000,7750.0,290.0,360.0,1.0,0,0.024678750744617478,11750.0,1,1,0,0,1,0,0,1,0,0,1
4583,0.0,84.0,360.0,1.0,0,0.01832460732984293,4583.0,0,1,0,0,0,0,0,0,0,0,1
3316,3500.0,88.0,360.0,1.0,1,0.012908904210063077,6816.0,1,1,0,1,0,0,1,0,1,0,1
14999,0.0,242.0,360.0,0.0,0,0.016133333333333333,14999.0,1,0,0,0,0,0,0,1,0,0,0
4200,1430.0,129.0,360.0,1.0,0,0.02290889717634523,5630.0,1,1,0,1,0,1,0,0,0,0,1
5042,2083.0,185.0,360.0,1.0,0,0.02596126859388156,7125.0,1,1,0,1,0,0,0,0,0,0,1
5417,0.0,168.0,360.0,1.0,1,0.031007751937984496,5417.0,1,0,0,0,0,0,0,0,1,0,1
6950,0.0,175.0,180.0,1.0,1,0.025176233635448138,6950.0,1,0,0,0,0,0,1,1,0,0,0
2698,2034.0,122.0,360.0,1.0,1,0.025776463131206424,4732.0,1,1,0,0,0,0,0,1,0,0,1
11757,0.0,187.0,180.0,1.0,1,0.01590406531723082,11757.0,1,1,0,1,0,0,0,0,1,0,0
2330,4486.0,100.0,360.0,1.0,1,0.014669209329617133,6816.0,0,1,0,0,0,0,0,1,0,1,0
14866,0.0,70.0,360.0,1.0,1,0.004708414609537903,14866.0,0,1,0,1,0,0,0,0,1,0,0
1538,1425.0,30.0,360.0,1.0,1,0.010121457489878543,2963.0,1,1,1,0,0,0,0,0,1,1,0
10000,1666.0,225.0,360.0,1.0,0,0.019285163281049112,11666.0,0,0,0,0,0,0,0,0,0,0,0
4860,830.0,125.0,360.0,1.0,1,0.021964505359339307,5690.0,1,1,0,0,0,0,0,1,0,0,1
6277,0.0,118.0,360.0,0.0,0,0.01879579483912074,6277.0,1,0,0,0,0,0,0,0,0,0,0
2577,3750.0,152.0,360.0,1.0,1,0.02402022756005057,6327.0,1,1,0,0,0,0,1,0,0,0,1
9166,0.0,244.0,360.0,1.0,0,0.026617213919493836,9166.0,1,0,0,0,0,0,0,0,1,0,0
2281,0.0,113.0,360.0,1.0,0,0.04951796669588081,2281.0,1,1,0,1,0,1,0,0,0,1,0
3254,0.0,50.0,360.0,1.0,1,0.015360983102918587,3254.0,1,0,0,0,0,0,0,0,1,0,1
39999,0.0,600.0,180.0,0.0,1,0.015,39999.0,1,1,0,0,1,0,0,1,0,0,0
6000,0.0,160.0,360.0,1.0,1,0.026662222962839526,6000.0,1,1,1,0,0,0,0,0,0,0,1
9538,0.0,187.0,360.0,1.0,1,0.01960373204738442,9538.0,1,1,1,0,0,0,0,0,1,0,0
2980,2083.0,120.0,360.0,1.0,1,0.023696682464454975,5063.0,1,0,0,0,0,0,0,0,0,0,1
4583,5625.0,255.0,360.0,1.0,1,0.024977960622979724,10208.0,1,1,0,0,0,0,0,1,0,0,1
1863,1041.0,98.0,360.0,1.0,1,0.033734939759036145,2904.0,1,1,0,0,0,1,0,1,0,1,0
7933,0.0,275.0,360.0,1.0,0,0.034660952861104107,7933.0,1,1,0,0,0,0,0,0,1,0,0
3089,1280.0,121.0,360.0,0.0,0,0.02768878718535469,4369.0,1,1,1,0,0,0,0,1,0,0,1
4167,1447.0,158.0,360.0,1.0,1,0.028138913624220836,5614.0,1,1,0,1,0,0,0,0,0,0,1
9323,0.0,75.0,180.0,1.0,1,0.008043758043758044,9323.0,1,1,0,0,0,0,0,0,1,0,0
3707,3166.0,182.0,360.0,1.0,1,0.026476578411405296,6873.0,1,1,0,0,0,0,0,0,0,0,1
4583,0.0,112.0,360.0,1.0,0,0.02443280977312391,4583.0,0,1,0,0,0,0,0,0,0,0,1
2439,3333.0,129.0,360.0,1.0,1,0.022345401004676944,5772.0,1,1,0,0,0,0,0,0,0,1,0
2237,0.0,63.0,480.0,0.0,0,0.028150134048257374,2237.0,1,0,0,0,0,0,0,1,0,1,0
8000,0.0,200.0,360.0,1.0,1,0.024996875390576177,8000.0,1,1,0,1,0,0,0,1,0,0,0
1820,1769.0,95.0,360.0,1.0,1,0.026462395543175487,3589.0,1,1,0,0,0,1,0,0,0,1,0
51763,0.0,700.0,300.0,1.0,1,0.01352291167606831,51763.0,1,1,0,0,1,0,0,0,1,0,0
3522,0.0,81.0,180.0,1.0,0,0.022991768379222254,3522.0,1,1,0,0,1,1,0,0,0,0,1
5708,5625.0,187.0,360.0,1.0,1,0.016499029468854773,11333.0,1,1,0,0,0,0,0,1,0,0,1
4344,736.0,87.0,360.0,1.0,0,0.017122613658728598,5080.0,1,1,0,0,0,1,1,1,0,0,1
3497,1964.0,116.0,360.0,1.0,1,0.021237641889417794,5461.0,1,1,0,0,0,0,0,0,0,0,1
2045,1619.0,101.0,360.0,1.0,1,0.027557980900409278,3664.0,1,1,0,1,0,0,0,0,0,1,0
5516,11300.0,495.0,360.0,0.0,0,0.02943450080275911,16816.0,1,1,0,0,1,0,0,1,0,0,1
3750,0.0,116.0,360.0,1.0,1,0.030925086643561715,3750.0,1,1,1,0,0,0,0,1,0,0,1
2333,1451.0,102.0,480.0,0.0,0,0.026948480845442536,3784.0,1,0,0,0,0,1,0,0,1,1,0
6400,7250.0,180.0,360.0,0.0,0,0.013185847190682002,13650.0,1,1,1,0,0,0,0,0,1,0,0
1916,5063.0,67.0,360.0,1.0,0,0.009598853868194842,6979.0,1,0,0,0,0,0,0,0,0,1,0
4600,0.0,73.0,180.0,1.0,1,0.01586611606172571,4600.0,1,1,0,0,0,0,0,1,0,0,1
33846,0.0,260.0,360.0,1.0,0,0.0076816261411646524,33846.0,1,1,1,0,0,0,0,1,0,0,0
3625,0.0,108.0,360.0,1.0,1,0.02978488692774407,3625.0,0,1,0,0,0,0,0,1,0,0,1
39147,4750.0,120.0,360.0,1.0,1,0.0027336097316506447,43897.0,1,1,0,0,0,0,1,1,0,0,0
2178,0.0,66.0,300.0,0.0,0,0.030289123451124368,2178.0,1,1,1,0,0,0,1,0,0,1,0
2383,2138.0,58.0,360.0,1.0,1,0.012826183104820876,4521.0,1,1,0,0,0,0,0,0,0,1,0
674,5296.0,168.0,360.0,1.0,1,0.02813599062133646,5970.0,1,1,0,0,0,0,1,0,0,1,0
9328,0.0,188.0,180.0,1.0,1,0.020152213527709295,9328.0,1,1,0,0,0,0,0,0,0,0,0
4885,0.0,48.0,360.0,1.0,1,0.009823986901350798,4885.0,1,0,0,0,0,1,0,0,0,0,1
12000,0.0,164.0,360.0,1.0,0,0.013665527872677276,12000.0,1,0,0,0,0,0,0,1,0,0,0
6033,0.0,160.0,360.0,1.0,0,0.026516407026847863,6033.0,1,1,0,0,0,1,0,0,1,0,0
3858,0.0,76.0,360.0,1.0,1,0.019694221300855144,3858.0,1,0,0,0,0,0,0,1,0,0,1
4191,0.0,120.0,360.0,1.0,1,0.02862595419847328,4191.0,1,0,0,0,0,0,0,0,0,0,1
3125,2583.0,170.0,360.0,1.0,0,0.02977754422841128,5708.0,1,1,1,0,0,0,0,1,0,0,1
8333,3750.0,187.0,360.0,1.0,1,0.015475008275405495,12083.0,1,0,0,0,0,0,0,0,0,0,0
1907,2365.0,120.0,360.0,1.0,1,0.02808331383103206,4272.0,0,0,0,0,0,1,0,0,1,1,0
3416,2816.0,113.0,360.0,1.0,1,0.01812931172789989,6232.0,0,1,0,0,0,0,0,1,0,0,1
11000,0.0,83.0,360.0,1.0,0,0.007544768657394782,11000.0,1,0,0,0,0,0,1,0,1,0,0
2600,2500.0,90.0,360.0,1.0,1,0.01764359929425603,5100.0,1,1,1,0,0,1,0,1,0,0,1
4923,0.0,166.0,360.0,0.0,1,0.033712428919577576,4923.0,1,0,0,1,0,0,0,1,0,0,1
3992,0.0,128.0,180.0,1.0,0,0.03205609817180065,3992.0,1,1,0,0,1,1,0,0,1,0,1
3500,1083.0,135.0,360.0,1.0,1,0.029450261780104712,4583.0,1,1,1,0,0,1,0,0,1,0,1
3917,0.0,124.0,360.0,1.0,1,0.03164880040837162,3917.0,1,1,0,1,0,1,0,1,0,0,1
4408,0.0,120.0,360.0,1.0,1,0.027217056021773645,4408.0,0,0,0,0,0,1,0,1,0,0,1
3244,0.0,80.0,360.0,1.0,1,0.02465331278890601,3244.0,0,0,0,0,0,0,0,0,1,0,1
3975,2531.0,55.0,360.0,1.0,1,0.008452435838327955,6506.0,1,0,0,0,0,1,0,0,0,0,1
2479,0.0,59.0,360.0,1.0,1,0.02379032258064516,2479.0,1,0,0,0,0,0,0,0,1,1,0
3418,0.0,127.0,360.0,1.0,0,0.03714536414156186,3418.0,1,0,0,0,0,0,0,1,0,0,1
10000,0.0,214.0,360.0,1.0,0,0.021397860213978603,10000.0,0,0,0,0,0,0,0,1,0,0,0
3430,1250.0,128.0,360.0,0.0,0,0.027344584490493484,4680.0,1,1,0,0,1,0,0,1,0,0,1
7787,0.0,240.0,360.0,1.0,1,0.030816640986132512,7787.0,1,1,1,0,0,0,1,0,1,0,0
5703,0.0,130.0,360.0,1.0,1,0.02279102384291725,5703.0,1,1,0,0,1,1,1,0,0,0,1
3173,3021.0,137.0,360.0,1.0,1,0.022114608555286523,6194.0,1,1,0,0,0,0,0,0,1,0,1
3850,983.0,100.0,360.0,1.0,1,0.02068680182043856,4833.0,1,1,0,0,1,1,0,1,0,0,1
150,1800.0,135.0,360.0,1.0,0,0.06919528446950282,1950.0,1,1,0,0,0,0,0,0,0,1,0
3727,1775.0,131.0,360.0,1.0,1,0.023805197165182628,5502.0,1,1,0,0,0,0,0,1,0,0,1
5000,0.0,72.0,360.0,0.0,0,0.014397120575884824,5000.0,1,1,0,1,0,0,0,1,0,0,1
4283,2383.0,127.0,360.0,1.0,1,0.01904904754762262,6666.0,0,1,0,1,0,0,0,1,0,0,1
2221,0.0,60.0,360.0,0.0,0,0.027002700270027002,2221.0,1,1,0,0,0,0,0,0,1,1,0
4009,1717.0,116.0,360.0,1.0,1,0.020254932774576566,5726.0,1,1,0,1,0,0,0,1,0,0,1
2971,2791.0,144.0,360.0,1.0,1,0.024986985944820406,5762.0,1,0,0,0,0,0,0,1,0,0,1
7578,1010.0,175.0,360.0,1.0,1,0.020374898125509373,8588.0,1,1,0,0,0,0,0,1,0,0,0
6250,0.0,128.0,360.0,1.0,1,0.020476723724204126,6250.0,1,1,0,0,0,0,0,1,0,0,0
3250,0.0,170.0,360.0,1.0,0,0.05229160258382036,3250.0,1,1,0,0,0,0,0,0,0,0,1
4735,0.0,138.0,360.0,1.0,0,0.029138513513513514,4735.0,1,1,0,0,0,1,1,0,1,0,1
6250,1695.0,210.0,360.0,1.0,1,0.02642839164359426,7945.0,1,1,0,1,0,0,0,1,0,0,0
4758,0.0,158.0,480.0,1.0,1,0.03320025215381383,4758.0,1,1,0,0,0,0,0,1,0,0,1
6400,0.0,200.0,360.0,1.0,1,0.031245117950320263,6400.0,1,0,0,0,0,0,1,0,0,0,0
2491,2054.0,104.0,360.0,1.0,1,0.02287725472943247,4545.0,1,1,1,0,0,0,0,1,0,1,0
3716,0.0,42.0,180.0,1.0,1,0.011299435028248588,3716.0,1,1,0,0,0,0,0,0,0,0,1
3189,2598.0,120.0,360.0,1.0,1,0.02073255010366275,5787.0,1,0,0,0,0,1,0,0,0,0,1
8333,0.0,280.0,360.0,1.0,1,0.033597312215022795,8333.0,0,0,0,0,0,0,0,1,0,0,0
3155,1779.0,140.0,360.0,1.0,1,0.028368794326241134,4934.0,1,1,1,0,0,0,0,1,0,0,1
5500,1260.0,170.0,360.0,1.0,1,0.025144209436473896,6760.0,1,1,1,0,0,0,0,0,0,0,1
5746,0.0,255.0,360.0,1.0,0,0.044370976161475555,5746.0,1,1,0,0,0,0,0,0,1,0,1
